***** Global Assumptions *****
Elem      Temp      ReflTemp  
CMB       2.725     2.725     
HWP       5.000     5.000     
Apert     2.000     5.000     
PM        5.000     5.000     
SM        5.000     5.000     
1KF       2.000     0.100     
Lens      0.100     0.100     
Det       0.100     0.100     


***** Frequency-Dependent Assumptions *****

----- 40.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.004     0.080     0.916     
Apert     0.709     0.000     0.291     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.001     0.050     0.949     
Lens      0.000     0.050     0.950     
Det       0.000     0.320     0.680     

----- 50.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.005     0.080     0.915     
Apert     0.584     0.000     0.416     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.002     0.050     0.948     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 60.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.006     0.080     0.914     
Apert     0.461     0.000     0.539     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.002     0.050     0.948     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 68.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.007     0.080     0.913     
Apert     0.370     0.000     0.630     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.002     0.050     0.948     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 78.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.007     0.080     0.913     
Apert     0.271     0.000     0.729     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.003     0.050     0.947     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 89.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.009     0.080     0.911     
Apert     0.182     0.000     0.818     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.003     0.050     0.947     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 100.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.010     0.080     0.910     
Apert     0.385     0.000     0.615     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.004     0.050     0.946     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 119.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.011     0.080     0.909     
Apert     0.259     0.000     0.741     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.004     0.050     0.946     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 140.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.013     0.080     0.907     
Apert     0.154     0.000     0.846     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.005     0.050     0.945     
Lens      0.001     0.050     0.949     
Det       0.000     0.320     0.680     

----- 166.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.016     0.080     0.904     
Apert     0.072     0.000     0.928     
PM        0.001     0.000     0.999     
SM        0.001     0.000     0.999     
1KF       0.006     0.050     0.944     
Lens      0.002     0.050     0.948     
Det       0.000     0.320     0.680     

----- 195.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.019     0.080     0.901     
Apert     0.027     0.000     0.973     
PM        0.002     0.000     0.998     
SM        0.002     0.000     0.998     
1KF       0.007     0.050     0.943     
Lens      0.002     0.050     0.948     
Det       0.000     0.320     0.680     

----- 235.0 GHz -----
Elem      Emiss     Refl      Eff       
CMB       1.000     0.000     0.000     
HWP       0.022     0.080     0.898     
Apert     0.005     0.000     0.995     
PM        0.002     0.000     0.998     
SM        0.002     0.000     0.998     
1KF       0.008     0.050     0.942     
Lens      0.003     0.050     0.947     
Det       0.000     0.320     0.680     
